title,artist,top genre,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity
"Hey, Soul Sister",Train,neo mellow,2010,97.0,89.0,67.0,-4.0,8.0,80.0,217.0,19.0,4.0,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87.0,93.0,75.0,-5.0,52.0,64.0,263.0,24.0,23.0,82
TiK ToK,Kesha,dance pop,2010,120.0,84.0,76.0,-3.0,29.0,71.0,200.0,10.0,14.0,80
Bad Romance,Lady Gaga,dance pop,2010,119.0,92.0,70.0,-4.0,8.0,71.0,295.0,0.0,4.0,79
Just the Way You Are,Bruno Mars,pop,2010,109.0,84.0,64.0,-5.0,9.0,43.0,221.0,2.0,4.0,78
Baby,Justin Bieber,canadian pop,2010,65.0,86.0,73.0,-5.0,11.0,54.0,214.0,4.0,14.0,77
Dynamite,Taio Cruz,dance pop,2010,120.0,78.0,75.0,-4.0,4.0,82.0,203.0,0.0,9.0,77
Secrets,OneRepublic,dance pop,2010,148.0,76.0,52.0,-6.0,12.0,38.0,225.0,7.0,4.0,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93.0,37.0,48.0,-8.0,12.0,14.0,216.0,74.0,3.0,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126.0,72.0,79.0,-4.0,7.0,61.0,235.0,13.0,4.0,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128.0,87.0,62.0,-4.0,6.0,47.0,235.0,3.0,3.0,73
Marry You,Bruno Mars,pop,2010,145.0,83.0,62.0,-5.0,10.0,48.0,230.0,33.0,4.0,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130.0,82.0,77.0,-5.0,70.0,63.0,213.0,18.0,5.0,73
Telephone,Lady Gaga,dance pop,2010,122.0,83.0,83.0,-6.0,11.0,71.0,221.0,1.0,4.0,73
Like A G6,Far East Movement,dance pop,2010,125.0,84.0,44.0,-8.0,12.0,78.0,217.0,1.0,45.0,72
OMG (feat. will.i.am),Usher,atl hip hop,2010,130.0,75.0,78.0,-6.0,36.0,33.0,269.0,20.0,3.0,72
Eenie Meenie,Sean Kingston,dance pop,2010,121.0,61.0,72.0,-4.0,11.0,83.0,202.0,5.0,3.0,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128.0,81.0,82.0,-8.0,60.0,44.0,308.0,7.0,7.0,70
Alejandro,Lady Gaga,dance pop,2010,99.0,80.0,63.0,-7.0,36.0,37.0,274.0,0.0,5.0,69
Your Love Is My Drug,Kesha,dance pop,2010,120.0,61.0,83.0,-4.0,9.0,76.0,187.0,1.0,10.0,69
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130.0,63.0,80.0,-7.0,32.0,40.0,284.0,0.0,7.0,68
Whataya Want from Me,Adam Lambert,australian pop,2010,186.0,68.0,44.0,-5.0,6.0,45.0,227.0,1.0,5.0,66
Take It Off,Kesha,dance pop,2010,125.0,68.0,73.0,-5.0,9.0,74.0,215.0,0.0,3.0,66
Misery,Maroon 5,pop,2010,103.0,81.0,70.0,-5.0,22.0,73.0,216.0,0.0,4.0,65
All The Right Moves,OneRepublic,dance pop,2010,146.0,95.0,53.0,-4.0,28.0,65.0,238.0,26.0,5.0,65
Animal,Neon Trees,indie pop,2010,148.0,83.0,48.0,-6.0,38.0,74.0,212.0,0.0,4.0,65
Naturally,Selena Gomez & The Scene,dance pop,2010,133.0,90.0,61.0,-5.0,5.0,88.0,203.0,2.0,5.0,64
I Like It,Enrique Iglesias,dance pop,2010,129.0,94.0,65.0,-3.0,6.0,73.0,231.0,2.0,9.0,63
Teenage Dream,Katy Perry,dance pop,2010,120.0,80.0,72.0,-5.0,13.0,59.0,228.0,2.0,4.0,63
California Gurls,Katy Perry,dance pop,2010,125.0,75.0,79.0,-4.0,18.0,40.0,235.0,0.0,5.0,62
3,Britney Spears,dance pop,2010,135.0,71.0,70.0,-2.0,14.0,79.0,213.0,5.0,5.0,62
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138.0,89.0,68.0,-4.0,36.0,83.0,192.0,1.0,8.0,62
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120.0,84.0,75.0,-3.0,42.0,52.0,172.0,8.0,12.0,62
Imma Be,The Black Eyed Peas,dance pop,2010,92.0,52.0,60.0,-7.0,31.0,41.0,258.0,18.0,37.0,62
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111.0,82.0,50.0,-5.0,13.0,55.0,249.0,16.0,11.0,62
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130.0,63.0,81.0,-5.0,13.0,80.0,196.0,8.0,5.0,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164.0,41.0,29.0,-5.0,13.0,7.0,264.0,83.0,3.0,61
If I Had You,Adam Lambert,australian pop,2010,131.0,91.0,65.0,-4.0,37.0,79.0,228.0,1.0,11.0,59
Rock That Body,The Black Eyed Peas,dance pop,2010,125.0,91.0,72.0,-6.0,43.0,84.0,269.0,2.0,10.0,59
Dog Days Are Over,Florence + The Machine,art pop,2010,150.0,81.0,50.0,-5.0,12.0,26.0,253.0,3.0,9.0,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150.0,85.0,51.0,-4.0,12.0,72.0,185.0,47.0,27.0,58
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104.0,41.0,71.0,-7.0,10.0,10.0,273.0,4.0,3.0,57
Hard,Rihanna,barbadian pop,2010,182.0,75.0,31.0,-4.0,65.0,16.0,251.0,1.0,11.0,57
Loca,Shakira,colombian pop,2010,112.0,87.0,80.0,-4.0,9.0,85.0,193.0,19.0,7.0,56
You Lost Me,Christina Aguilera,dance pop,2010,43.0,39.0,23.0,-6.0,14.0,7.0,257.0,85.0,4.0,56
Not Myself Tonight,Christina Aguilera,dance pop,2010,120.0,81.0,76.0,-5.0,56.0,54.0,186.0,0.0,4.0,55
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91.0,95.0,64.0,-4.0,18.0,57.0,220.0,6.0,7.0,52
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120.0,86.0,66.0,-3.0,8.0,65.0,221.0,3.0,11.0,52
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80.0,86.0,45.0,-5.0,26.0,58.0,329.0,7.0,39.0,49
Break Your Heart,Taio Cruz,dance pop,2010,122.0,90.0,67.0,-5.0,8.0,63.0,186.0,0.0,3.0,33
Hello,Martin Solveig,big room,2010,128.0,98.0,67.0,-3.0,10.0,45.0,191.0,1.0,3.0,0
A Thousand Years,Christina Perri,dance pop,2011,139.0,41.0,42.0,-7.0,11.0,16.0,285.0,31.0,3.0,81
Someone Like You,Adele,british soul,2011,135.0,33.0,56.0,-8.0,10.0,28.0,285.0,89.0,3.0,80
Give Me Everything,Pitbull,dance pop,2011,129.0,94.0,67.0,-3.0,30.0,53.0,252.0,19.0,16.0,79
Just the Way You Are,Bruno Mars,pop,2011,109.0,84.0,64.0,-5.0,9.0,43.0,221.0,2.0,4.0,78
Rolling in the Deep,Adele,british soul,2011,105.0,76.0,73.0,-5.0,5.0,52.0,228.0,13.0,3.0,76
Run the World (Girls),Beyoncé,dance pop,2011,127.0,90.0,73.0,-4.0,37.0,76.0,236.0,0.0,14.0,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128.0,76.0,72.0,-4.0,32.0,62.0,201.0,1.0,5.0,76
Love On Top,Beyoncé,dance pop,2011,94.0,75.0,65.0,-5.0,60.0,65.0,267.0,8.0,9.0,76
Grenade,Bruno Mars,pop,2011,110.0,56.0,71.0,-7.0,12.0,23.0,223.0,15.0,6.0,75
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100.0,78.0,69.0,-5.0,16.0,81.0,200.0,8.0,12.0,75
What the Hell,Avril Lavigne,canadian pop,2011,150.0,93.0,58.0,-4.0,14.0,88.0,221.0,0.0,5.0,74
Born This Way,Lady Gaga,dance pop,2011,124.0,83.0,59.0,-5.0,33.0,49.0,260.0,0.0,16.0,73
Monster,Kanye West,chicago rap,2011,125.0,69.0,63.0,-6.0,67.0,10.0,379.0,0.0,20.0,73
Marry You,Bruno Mars,pop,2011,145.0,83.0,62.0,-5.0,10.0,48.0,230.0,33.0,4.0,73
Best Thing I Never Had,Beyoncé,dance pop,2011,99.0,65.0,55.0,-4.0,9.0,30.0,254.0,14.0,3.0,73
Party Rock Anthem,LMFAO,dance pop,2011,130.0,74.0,75.0,-4.0,27.0,35.0,262.0,2.0,16.0,72
We R Who We R,Kesha,dance pop,2011,120.0,82.0,74.0,-5.0,12.0,65.0,205.0,1.0,4.0,72
Price Tag,Jessie J,australian pop,2011,175.0,83.0,64.0,-4.0,27.0,68.0,223.0,3.0,18.0,72
Good Life,OneRepublic,dance pop,2011,95.0,69.0,63.0,-8.0,13.0,65.0,253.0,8.0,5.0,72
Just Cant Get Enough,The Black Eyed Peas,dance pop,2011,94.0,63.0,66.0,-9.0,11.0,26.0,219.0,19.0,18.0,71
On The Floor,Jennifer Lopez,dance pop,2011,130.0,78.0,73.0,-5.0,7.0,57.0,285.0,11.0,5.0,69
What's My Name?,Rihanna,barbadian pop,2011,100.0,79.0,69.0,-3.0,8.0,58.0,263.0,23.0,7.0,69
Yeah 3x,Chris Brown,dance pop,2011,130.0,88.0,71.0,-3.0,9.0,70.0,242.0,0.0,4.0,69
Without You (feat. Usher),David Guetta,dance pop,2011,128.0,61.0,61.0,-4.0,16.0,40.0,208.0,23.0,3.0,68
Sexy And I Know It,LMFAO,dance pop,2011,130.0,86.0,71.0,-4.0,19.0,80.0,199.0,10.0,32.0,67
The Edge Of Glory,Lady Gaga,dance pop,2011,128.0,77.0,58.0,-6.0,11.0,36.0,321.0,0.0,4.0,67
E.T.,Katy Perry,dance pop,2011,152.0,87.0,62.0,-5.0,37.0,76.0,230.0,2.0,18.0,66
Till the World Ends,Britney Spears,dance pop,2011,132.0,71.0,69.0,-6.0,20.0,45.0,238.0,2.0,7.0,65
I Wanna Go,Britney Spears,dance pop,2011,130.0,55.0,70.0,-7.0,33.0,79.0,210.0,0.0,4.0,64
Blow,Kesha,dance pop,2011,120.0,73.0,75.0,-4.0,7.0,81.0,220.0,0.0,4.0,64
You And I,Lady Gaga,dance pop,2011,127.0,70.0,52.0,-5.0,9.0,52.0,307.0,9.0,5.0,64
Judas,Lady Gaga,dance pop,2011,131.0,93.0,66.0,-4.0,27.0,53.0,249.0,0.0,7.0,63
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126.0,89.0,65.0,-4.0,12.0,32.0,232.0,3.0,5.0,63
Please Don't Go,Mike Posner,dance pop,2011,120.0,88.0,70.0,-4.0,13.0,66.0,197.0,0.0,3.0,63
We Found Love,Rihanna,barbadian pop,2011,128.0,77.0,73.0,-4.0,11.0,60.0,215.0,3.0,4.0,61
Marry The Night,Lady Gaga,dance pop,2011,131.0,88.0,61.0,-4.0,46.0,38.0,265.0,0.0,6.0,61
1+1,Beyoncé,dance pop,2011,63.0,38.0,30.0,-7.0,7.0,26.0,274.0,38.0,3.0,60
Hold It Against Me,Britney Spears,dance pop,2011,133.0,72.0,65.0,-5.0,24.0,39.0,229.0,1.0,4.0,59
I'm Into You,Jennifer Lopez,dance pop,2011,84.0,75.0,59.0,-4.0,8.0,70.0,200.0,2.0,14.0,59
Papi,Jennifer Lopez,dance pop,2011,120.0,81.0,71.0,-5.0,37.0,89.0,223.0,13.0,6.0,58
Cheers (Drink To That),Rihanna,barbadian pop,2011,80.0,91.0,58.0,-4.0,29.0,73.0,262.0,2.0,4.0,58
S&M Remix,Rihanna,barbadian pop,2011,128.0,81.0,82.0,-3.0,5.0,89.0,257.0,5.0,5.0,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91.0,95.0,64.0,-4.0,18.0,57.0,220.0,6.0,7.0,52
Jar of Hearts,Christina Perri,dance pop,2011,75.0,35.0,35.0,-6.0,12.0,9.0,247.0,73.0,3.0,50
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80.0,86.0,45.0,-5.0,26.0,58.0,329.0,7.0,39.0,49
Turning Page,Sleeping At Last,acoustic pop,2011,125.0,38.0,30.0,-8.0,11.0,19.0,255.0,91.0,3.0,46
Super Bass,Nicki Minaj,dance pop,2011,127.0,74.0,77.0,-7.0,40.0,59.0,201.0,6.0,23.0,38
Raise Your Glass,P!nk,dance pop,2011,122.0,64.0,68.0,-7.0,12.0,56.0,208.0,0.0,12.0,38
Invading My Mind,Jennifer Lopez,dance pop,2011,129.0,88.0,73.0,-4.0,32.0,69.0,201.0,2.0,7.0,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130.0,88.0,50.0,-4.0,22.0,37.0,279.0,39.0,38.0,28
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126.0,81.0,65.0,-4.0,67.0,72.0,231.0,0.0,4.0,27
Firework,Katy Perry,dance pop,2011,124.0,83.0,64.0,-5.0,11.0,65.0,228.0,14.0,5.0,25
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98.0,72.0,80.0,-5.0,19.0,53.0,227.0,56.0,33.0,7
Titanium (feat. Sia),David Guetta,dance pop,2012,126.0,79.0,60.0,-4.0,13.0,30.0,245.0,7.0,10.0,80
Locked Out of Heaven,Bruno Mars,pop,2012,144.0,70.0,73.0,-4.0,31.0,87.0,233.0,5.0,4.0,79
Paradise,Coldplay,permanent wave,2012,140.0,59.0,45.0,-7.0,8.0,20.0,279.0,5.0,3.0,79
Payphone,Maroon 5,pop,2012,110.0,75.0,74.0,-5.0,29.0,55.0,231.0,2.0,4.0,79
What Makes You Beautiful,One Direction,boy band,2012,125.0,79.0,73.0,-2.0,6.0,89.0,200.0,1.0,7.0,78
I Knew You Were Trouble.,Taylor Swift,pop,2012,77.0,47.0,62.0,-7.0,3.0,68.0,220.0,0.0,4.0,77
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120.0,58.0,78.0,-7.0,11.0,66.0,193.0,1.0,4.0,76
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117.0,68.0,86.0,-4.0,7.0,92.0,188.0,8.0,5.0,76
Set Fire to the Rain,Adele,british soul,2012,108.0,68.0,61.0,-4.0,13.0,47.0,242.0,0.0,3.0,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86.0,68.0,63.0,-6.0,12.0,75.0,193.0,1.0,9.0,75
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116.0,94.0,56.0,-4.0,11.0,68.0,222.0,5.0,5.0,74
Try,P!nk,dance pop,2012,104.0,63.0,67.0,-7.0,9.0,55.0,248.0,0.0,3.0,74
Starships,Nicki Minaj,dance pop,2012,125.0,72.0,75.0,-2.0,25.0,75.0,211.0,14.0,8.0,73
One More Night,Maroon 5,pop,2012,93.0,82.0,72.0,-3.0,8.0,62.0,220.0,6.0,3.0,73
Good Time,Owl City,pop,2012,126.0,87.0,56.0,-4.0,37.0,68.0,206.0,2.0,14.0,73
Glad You Came,The Wanted,boy band,2012,127.0,85.0,72.0,-4.0,11.0,45.0,198.0,3.0,6.0,72
Beauty And A Beat,Justin Bieber,canadian pop,2012,128.0,84.0,60.0,-5.0,7.0,53.0,228.0,0.0,6.0,72
International Love,Pitbull,dance pop,2012,120.0,86.0,67.0,-3.0,34.0,65.0,227.0,1.0,5.0,72
Some Nights,fun.,baroque pop,2012,108.0,74.0,67.0,-7.0,9.0,39.0,277.0,2.0,5.0,72
Boyfriend,Justin Bieber,canadian pop,2012,97.0,55.0,72.0,-6.0,13.0,33.0,171.0,4.0,5.0,71
Part Of Me,Katy Perry,dance pop,2012,130.0,92.0,68.0,-5.0,7.0,77.0,216.0,0.0,4.0,71
Domino,Jessie J,australian pop,2012,127.0,55.0,76.0,-5.0,4.0,78.0,232.0,1.0,3.0,69
Where Have You Been,Rihanna,barbadian pop,2012,128.0,85.0,72.0,-6.0,22.0,44.0,243.0,0.0,9.0,68
Wide Awake,Katy Perry,dance pop,2012,160.0,68.0,51.0,-5.0,39.0,57.0,221.0,7.0,4.0,68
The One That Got Away,Katy Perry,dance pop,2012,134.0,80.0,69.0,-4.0,16.0,88.0,227.0,0.0,4.0,67
Dance Again,Jennifer Lopez,dance pop,2012,128.0,86.0,79.0,-5.0,10.0,71.0,237.0,2.0,7.0,66
Turn Up the Music,Chris Brown,dance pop,2012,130.0,84.0,59.0,-6.0,16.0,64.0,228.0,0.0,10.0,65
Lights - Single Version,Ellie Goulding,dance pop,2012,120.0,80.0,68.0,-6.0,13.0,78.0,211.0,3.0,4.0,65
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184.0,64.0,38.0,-6.0,8.0,74.0,251.0,2.0,8.0,63
Diamonds,Rihanna,barbadian pop,2012,92.0,71.0,56.0,-5.0,11.0,39.0,225.0,0.0,5.0,61
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127.0,96.0,72.0,-4.0,38.0,95.0,206.0,1.0,9.0,59
You Da One,Rihanna,barbadian pop,2012,127.0,72.0,70.0,-5.0,13.0,86.0,200.0,50.0,4.0,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90.0,80.0,65.0,-3.0,27.0,80.0,211.0,3.0,10.0,54
It Will Rain,Bruno Mars,pop,2012,150.0,84.0,58.0,-7.0,8.0,48.0,258.0,34.0,5.0,38
Blow Me (One Last Kiss),P!nk,dance pop,2012,114.0,92.0,60.0,-3.0,25.0,75.0,256.0,0.0,4.0,0
Underneath the Tree,Kelly Clarkson,dance pop,2013,160.0,81.0,51.0,-5.0,21.0,69.0,230.0,0.0,5.0,88
Wake Me Up,Avicii,big room,2013,124.0,78.0,53.0,-6.0,16.0,64.0,247.0,0.0,5.0,85
Story of My Life,One Direction,boy band,2013,121.0,66.0,60.0,-6.0,12.0,29.0,245.0,23.0,5.0,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95.0,55.0,78.0,-7.0,13.0,44.0,243.0,35.0,5.0,81
Hall of Fame,The Script,celtic rock,2013,85.0,87.0,42.0,-4.0,12.0,63.0,203.0,7.0,6.0,80
Roar,Katy Perry,dance pop,2013,180.0,77.0,55.0,-5.0,35.0,46.0,224.0,0.0,4.0,78
We Can't Stop,Miley Cyrus,dance pop,2013,80.0,62.0,61.0,-6.0,37.0,48.0,231.0,1.0,3.0,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129.0,84.0,61.0,-3.0,12.0,44.0,213.0,11.0,5.0,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116.0,81.0,79.0,-9.0,10.0,86.0,248.0,4.0,4.0,77
Wrecking Ball,Miley Cyrus,dance pop,2013,120.0,42.0,53.0,-6.0,11.0,35.0,221.0,41.0,3.0,77
Impossible,James Arthur,pop,2013,170.0,70.0,38.0,-5.0,11.0,30.0,209.0,14.0,9.0,77
Blurred Lines,Robin Thicke,dance pop,2013,120.0,60.0,85.0,-5.0,8.0,84.0,264.0,0.0,4.0,76
Heart Attack,Demi Lovato,dance pop,2013,174.0,79.0,50.0,-5.0,24.0,50.0,211.0,7.0,10.0,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86.0,68.0,63.0,-6.0,12.0,75.0,193.0,1.0,9.0,75
Die Young,Kesha,dance pop,2013,128.0,70.0,71.0,-5.0,22.0,80.0,212.0,0.0,5.0,75
Clarity,Zedd,complextro,2013,128.0,78.0,51.0,-3.0,7.0,18.0,271.0,4.0,7.0,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126.0,81.0,57.0,-6.0,13.0,11.0,215.0,2.0,6.0,74
Under Control,Calvin Harris,dance pop,2013,126.0,92.0,54.0,-3.0,12.0,51.0,184.0,13.0,8.0,74
Everybody Talks,Neon Trees,indie pop,2013,155.0,92.0,47.0,-4.0,31.0,73.0,177.0,0.0,6.0,74
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100.0,41.0,77.0,-7.0,7.0,29.0,228.0,0.0,10.0,73
Best Song Ever,One Direction,boy band,2013,118.0,88.0,65.0,-3.0,8.0,49.0,200.0,2.0,5.0,73
Kiss You,One Direction,boy band,2013,90.0,93.0,63.0,-3.0,32.0,91.0,183.0,2.0,6.0,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128.0,93.0,57.0,-4.0,6.0,58.0,213.0,20.0,11.0,72
Lose Yourself to Dance,Daft Punk,electro,2013,100.0,66.0,83.0,-8.0,8.0,67.0,354.0,8.0,6.0,72
Work Bitch,Britney Spears,dance pop,2013,128.0,82.0,63.0,-7.0,7.0,85.0,248.0,16.0,16.0,71
