title,artist,followers,artist_popularity,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity,is_dance_pop
"Hey, Soul Sister",Train,3.693075,78,2010,97,89,67,-4,8,80,217,19,4,83,0
Love The Way You Lie,Eminem,44.814807,94,2010,87,93,75,-5,52,64,263,24,23,82,0
TiK ToK,Kesha,6.410236,81,2010,120,84,76,-3,29,71,200,10,14,80,1
Bad Romance,Lady Gaga,17.68018,89,2010,119,92,70,-4,8,71,295,0,4,79,1
Just the Way You Are,Bruno Mars,31.020064,93,2010,109,84,64,-5,9,43,221,2,4,78,0
Baby,Justin Bieber,46.280515,97,2010,65,86,73,-5,11,54,214,4,14,77,0
Dynamite,Taio Cruz,1.93639,75,2010,120,78,75,-4,4,82,203,0,9,77,1
Secrets,OneRepublic,11.875281,86,2010,148,76,52,-6,12,38,225,7,4,77,1
Empire State of Mind (Part II) Broken Down,Alicia Keys,8.702335,82,2010,93,37,48,-8,12,14,216,74,3,76,0
Only Girl (In The World),Rihanna,43.069731,92,2010,126,72,79,-4,7,61,235,13,4,73,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,8.090245,83,2010,128,87,62,-4,6,47,235,3,3,73,1
Marry You,Bruno Mars,31.020064,93,2010,145,83,62,-5,10,48,230,33,4,73,0
Cooler Than Me - Single Mix,Mike Posner,1.153346,77,2010,130,82,77,-5,70,63,213,18,5,73,1
Telephone,Lady Gaga,17.68018,89,2010,122,83,83,-6,11,71,221,1,4,73,1
Like A G6,Far East Movement,1.03537,70,2010,125,84,44,-8,12,78,217,1,45,72,1
OMG (feat. will.i.am),Usher,8.745545,84,2010,130,75,78,-6,36,33,269,20,3,72,0
Eenie Meenie,Sean Kingston,2.129817,75,2010,121,61,72,-4,11,83,202,5,3,71,1
The Time (Dirty Bit),The Black Eyed Peas,10.823572,85,2010,128,81,82,-8,60,44,308,7,7,70,1
Alejandro,Lady Gaga,17.68018,89,2010,99,80,63,-7,36,37,274,0,5,69,1
Your Love Is My Drug,Kesha,6.410236,81,2010,120,61,83,-4,9,76,187,1,10,69,1
Meet Me Halfway,The Black Eyed Peas,10.823572,85,2010,130,63,80,-7,32,40,284,0,7,68,1
Whataya Want from Me,Adam Lambert,1.208125,67,2010,186,68,44,-5,6,45,227,1,5,66,0
Take It Off,Kesha,6.410236,81,2010,125,68,73,-5,9,74,215,0,3,66,1
Misery,Maroon 5,31.08034,91,2010,103,81,70,-5,22,73,216,0,4,65,0
All The Right Moves,OneRepublic,11.875281,86,2010,146,95,53,-4,28,65,238,26,5,65,1
Animal,Neon Trees,1.037009,73,2010,148,83,48,-6,38,74,212,0,4,65,0
Naturally,Selena Gomez & The Scene,6.54183,71,2010,133,90,61,-5,5,88,203,2,5,64,1
I Like It,Enrique Iglesias,10.143558,80,2010,129,94,65,-3,6,73,231,2,9,63,1
Teenage Dream,Katy Perry,18.436129,87,2010,120,80,72,-5,13,59,228,2,4,63,1
California Gurls,Katy Perry,18.436129,87,2010,125,75,79,-4,18,40,235,0,5,62,1
3,Britney Spears,9.141552,85,2010,135,71,70,-2,14,79,213,5,5,62,1
My First Kiss - feat. Ke$ha,3OH!3,0.763575,69,2010,138,89,68,-4,36,83,192,1,8,62,1
Blah Blah Blah (feat. 3OH!3),Kesha,6.410236,81,2010,120,84,75,-3,42,52,172,8,12,62,1
Imma Be,The Black Eyed Peas,10.823572,85,2010,92,52,60,-7,31,41,258,18,37,62,1
Try Sleeping with a Broken Heart,Alicia Keys,8.702335,82,2010,111,82,50,-5,13,55,249,16,11,62,0
Sexy Bitch (feat. Akon),David Guetta,22.646855,92,2010,130,63,81,-5,13,80,196,8,5,61,1
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,6.153648,82,2010,164,41,29,-5,13,7,264,83,3,61,1
If I Had You,Adam Lambert,1.208125,67,2010,131,91,65,-4,37,79,228,1,11,59,0
Rock That Body,The Black Eyed Peas,10.823572,85,2010,125,91,72,-6,43,84,269,2,10,59,1
Dog Days Are Over,Florence + The Machine,5.581325,78,2010,150,81,50,-5,12,26,253,3,9,58,0
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,6.153648,82,2010,150,85,51,-4,12,72,185,47,27,58,1
Doesn't Mean Anything,Alicia Keys,8.702335,82,2010,104,41,71,-7,10,10,273,4,3,57,0
Hard,Rihanna,43.069731,92,2010,182,75,31,-4,65,16,251,1,11,57,0
Loca,Shakira,21.772872,87,2010,112,87,80,-4,9,85,193,19,7,56,0
You Lost Me,Christina Aguilera,6.153648,82,2010,43,39,23,-6,14,7,257,85,4,56,1
Not Myself Tonight,Christina Aguilera,6.153648,82,2010,120,81,76,-5,56,54,186,0,4,55,1
Written in the Stars (feat. Eric Turner),Tinie Tempah,0.777402,70,2010,91,95,64,-4,18,57,220,6,7,52,1
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,8.745545,84,2010,120,86,66,-3,8,65,221,3,11,52,0
Castle Walls (feat. Christina Aguilera),T.I.,3.764897,80,2010,80,86,45,-5,26,58,329,7,39,49,0
Break Your Heart,Taio Cruz,1.93639,75,2010,122,90,67,-5,8,63,186,0,3,33,1
Hello,Martin Solveig,1.174888,72,2010,128,98,67,-3,10,45,191,1,3,0,0
A Thousand Years,Christina Perri,2.999315,75,2011,139,41,42,-7,11,16,285,31,3,81,1
Someone Like You,Adele,27.446503,85,2011,135,33,56,-8,10,28,285,89,3,80,0
Give Me Everything,Pitbull,8.451805,87,2011,129,94,67,-3,30,53,252,19,16,79,1
Just the Way You Are,Bruno Mars,31.020064,93,2011,109,84,64,-5,9,43,221,2,4,78,0
Rolling in the Deep,Adele,27.446503,85,2011,105,76,73,-5,5,52,228,13,3,76,0
Run the World (Girls),Beyoncé,27.615669,88,2011,127,90,73,-4,37,76,236,0,14,76,1
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,31.08034,91,2011,128,76,72,-4,32,62,201,1,5,76,0
Love On Top,Beyoncé,27.615669,88,2011,94,75,65,-5,60,65,267,8,9,76,1
Grenade,Bruno Mars,31.020064,93,2011,110,56,71,-7,12,23,223,15,6,75,0
Tonight Tonight,Hot Chelle Rae,0.523618,66,2011,100,78,69,-5,16,81,200,8,12,75,1
What the Hell,Avril Lavigne,7.31976,80,2011,150,93,58,-4,14,88,221,0,5,74,0
Born This Way,Lady Gaga,17.68018,89,2011,124,83,59,-5,33,49,260,0,16,73,1
Monster,Kanye West,14.020397,92,2011,125,69,63,-6,67,10,379,0,20,73,0
Marry You,Bruno Mars,31.020064,93,2011,145,83,62,-5,10,48,230,33,4,73,0
Best Thing I Never Had,Beyoncé,27.615669,88,2011,99,65,55,-4,9,30,254,14,3,73,1
Party Rock Anthem,LMFAO,3.7376,71,2011,130,74,75,-4,27,35,262,2,16,72,1
We R Who We R,Kesha,6.410236,81,2011,120,82,74,-5,12,65,205,1,4,72,1
Price Tag,Jessie J,8.652796,76,2011,175,83,64,-4,27,68,223,3,18,72,0
Good Life,OneRepublic,11.875281,86,2011,95,69,63,-8,13,65,253,8,5,72,1
Just Cant Get Enough,The Black Eyed Peas,10.823572,85,2011,94,63,66,-9,11,26,219,19,18,71,1
On The Floor,Jennifer Lopez,10.075421,80,2011,130,78,73,-5,7,57,285,11,5,69,1
What's My Name?,Rihanna,43.069731,92,2011,100,79,69,-3,8,58,263,23,7,69,0
Yeah 3x,Chris Brown,13.729034,91,2011,130,88,71,-3,9,70,242,0,4,69,1
Without You (feat. Usher),David Guetta,22.646855,92,2011,128,61,61,-4,16,40,208,23,3,68,1
Sexy And I Know It,LMFAO,3.7376,71,2011,130,86,71,-4,19,80,199,10,32,67,1
The Edge Of Glory,Lady Gaga,17.68018,89,2011,128,77,58,-6,11,36,321,0,4,67,1
E.T.,Katy Perry,18.436129,87,2011,152,87,62,-5,37,76,230,2,18,66,1
Till the World Ends,Britney Spears,9.141552,85,2011,132,71,69,-6,20,45,238,2,7,65,1
I Wanna Go,Britney Spears,9.141552,85,2011,130,55,70,-7,33,79,210,0,4,64,1
Blow,Kesha,6.410236,81,2011,120,73,75,-4,7,81,220,0,4,64,1
You And I,Lady Gaga,17.68018,89,2011,127,70,52,-5,9,52,307,9,5,64,1
Judas,Lady Gaga,17.68018,89,2011,131,93,66,-4,27,53,249,0,7,63,1
Tonight (I'm Fuckin' You),Enrique Iglesias,10.143558,80,2011,126,89,65,-4,12,32,232,3,5,63,1
Please Don't Go,Mike Posner,1.153346,77,2011,120,88,70,-4,13,66,197,0,3,63,1
We Found Love,Rihanna,43.069731,92,2011,128,77,73,-4,11,60,215,3,4,61,0
Marry The Night,Lady Gaga,17.68018,89,2011,131,88,61,-4,46,38,265,0,6,61,1
1+1,Beyoncé,27.615669,88,2011,63,38,30,-7,7,26,274,38,3,60,1
Hold It Against Me,Britney Spears,9.141552,85,2011,133,72,65,-5,24,39,229,1,4,59,1
I'm Into You,Jennifer Lopez,10.075421,80,2011,84,75,59,-4,8,70,200,2,14,59,1
Papi,Jennifer Lopez,10.075421,80,2011,120,81,71,-5,37,89,223,13,6,58,1
Cheers (Drink To That),Rihanna,43.069731,92,2011,80,91,58,-4,29,73,262,2,4,58,0
S&M Remix,Rihanna,43.069731,92,2011,128,81,82,-3,5,89,257,5,5,54,0
Written in the Stars (feat. Eric Turner),Tinie Tempah,0.777402,70,2011,91,95,64,-4,18,57,220,6,7,52,1
Jar of Hearts,Christina Perri,2.999315,75,2011,75,35,35,-6,12,9,247,73,3,50,1
Castle Walls (feat. Christina Aguilera),T.I.,3.764897,80,2011,80,86,45,-5,26,58,329,7,39,49,0
Turning Page,Sleeping At Last,1.087309,75,2011,125,38,30,-8,11,19,255,91,3,46,0
Super Bass,Nicki Minaj,21.512369,91,2011,127,74,77,-7,40,59,201,6,23,38,1
Raise Your Glass,P!nk,11.075481,87,2011,122,64,68,-7,12,56,208,0,12,38,1
Invading My Mind,Jennifer Lopez,10.075421,80,2011,129,88,73,-4,32,69,201,2,7,31,1
Moment 4 Life - Album Version (Edited),Nicki Minaj,21.512369,91,2011,130,88,50,-4,22,37,279,39,38,28,1
Last Friday Night (T.G.I.F.),Katy Perry,18.436129,87,2011,126,81,65,-4,67,72,231,0,4,27,1
Firework,Katy Perry,18.436129,87,2011,124,83,64,-5,11,65,228,14,5,25,1
Muny - Album Version (Edited),Nicki Minaj,21.512369,91,2011,98,72,80,-5,19,53,227,56,33,7,1
Titanium (feat. Sia),David Guetta,22.646855,92,2012,126,79,60,-4,13,30,245,7,10,80,1
Locked Out of Heaven,Bruno Mars,31.020064,93,2012,144,70,73,-4,31,87,233,5,4,79,0
Paradise,Coldplay,30.35125,90,2012,140,59,45,-7,8,20,279,5,3,79,0
Payphone,Maroon 5,31.08034,91,2012,110,75,74,-5,29,55,231,2,4,79,0
What Makes You Beautiful,One Direction,21.651775,90,2012,125,79,73,-2,6,89,200,1,7,78,0
I Knew You Were Trouble.,Taylor Swift,40.244006,96,2012,77,47,62,-7,3,68,220,0,4,77,0
Call Me Maybe,Carly Rae Jepsen,4.608822,76,2012,120,58,78,-7,11,66,193,1,4,76,0
Love You Like A Love Song,Selena Gomez & The Scene,6.54183,71,2012,117,68,86,-4,7,92,188,8,5,76,1
Set Fire to the Rain,Adele,27.446503,85,2012,108,68,61,-4,13,47,242,0,3,76,0
We Are Never Ever Getting Back Together,Taylor Swift,40.244006,96,2012,86,68,63,-6,12,75,193,1,9,75,0
Stronger (What Doesn't Kill You),Kelly Clarkson,7.700092,78,2012,116,94,56,-4,11,68,222,5,5,74,1
Try,P!nk,11.075481,87,2012,104,63,67,-7,9,55,248,0,3,74,1
Starships,Nicki Minaj,21.512369,91,2012,125,72,75,-2,25,75,211,14,8,73,1
One More Night,Maroon 5,31.08034,91,2012,93,82,72,-3,8,62,220,6,3,73,0
Good Time,Owl City,2.095268,74,2012,126,87,56,-4,37,68,206,2,14,73,0
Glad You Came,The Wanted,2.258,69,2012,127,85,72,-4,11,45,198,3,6,72,0
Beauty And A Beat,Justin Bieber,46.280515,97,2012,128,84,60,-5,7,53,228,0,6,72,0
International Love,Pitbull,8.451805,87,2012,120,86,67,-3,34,65,227,1,5,72,1
Some Nights,fun.,3.471253,72,2012,108,74,67,-7,9,39,277,2,5,72,0
Boyfriend,Justin Bieber,46.280515,97,2012,97,55,72,-6,13,33,171,4,5,71,0
Part Of Me,Katy Perry,18.436129,87,2012,130,92,68,-5,7,77,216,0,4,71,1
Domino,Jessie J,8.652796,76,2012,127,55,76,-5,4,78,232,1,3,69,0
Where Have You Been,Rihanna,43.069731,92,2012,128,85,72,-6,22,44,243,0,9,68,0
Wide Awake,Katy Perry,18.436129,87,2012,160,68,51,-5,39,57,221,7,4,68,1
The One That Got Away,Katy Perry,18.436129,87,2012,134,80,69,-4,16,88,227,0,4,67,1
Dance Again,Jennifer Lopez,10.075421,80,2012,128,86,79,-5,10,71,237,2,7,66,1
Turn Up the Music,Chris Brown,13.729034,91,2012,130,84,59,-6,16,64,228,0,10,65,1
Lights - Single Version,Ellie Goulding,9.519943,82,2012,120,80,68,-6,13,78,211,3,4,65,1
We Are Young (feat. Janelle Monáe),fun.,3.471253,72,2012,184,64,38,-6,8,74,251,2,8,63,0
Diamonds,Rihanna,43.069731,92,2012,92,71,56,-5,11,39,225,0,5,61,0
Don't Stop the Party (feat. TJR),Pitbull,8.451805,87,2012,127,96,72,-4,38,95,206,1,9,59,1
You Da One,Rihanna,43.069731,92,2012,127,72,70,-5,13,86,200,50,4,57,0
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,1.25403,77,2012,90,80,65,-3,27,80,211,3,10,54,1
It Will Rain,Bruno Mars,31.020064,93,2012,150,84,58,-7,8,48,258,34,5,38,0
Blow Me (One Last Kiss),P!nk,11.075481,87,2012,114,92,60,-3,25,75,256,0,4,0,1
Underneath the Tree,Kelly Clarkson,7.700092,78,2013,160,81,51,-5,21,69,230,0,5,88,1
Wake Me Up,Avicii,19.871425,86,2013,124,78,53,-6,16,64,247,0,5,85,0
Story of My Life,One Direction,21.651775,90,2013,121,66,60,-6,12,29,245,23,5,81,0
Just Give Me a Reason (feat. Nate Ruess),P!nk,11.075481,87,2013,95,55,78,-7,13,44,243,35,5,81,1
Hall of Fame,The Script,6.637453,78,2013,85,87,42,-4,12,63,203,7,6,80,0
Roar,Katy Perry,18.436129,87,2013,180,77,55,-5,35,46,224,0,4,78,1
We Can't Stop,Miley Cyrus,15.244928,88,2013,80,62,61,-6,37,48,231,1,3,78,1
Don't You Worry Child - Radio Edit,Swedish House Mafia,3.286361,71,2013,129,84,61,-3,12,44,213,11,5,78,0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,7.826076,84,2013,116,81,79,-9,10,86,248,4,4,77,0
Wrecking Ball,Miley Cyrus,15.244928,88,2013,120,42,53,-6,11,35,221,41,3,77,1
Impossible,James Arthur,8.13336,85,2013,170,70,38,-5,11,30,209,14,9,77,0
Blurred Lines,Robin Thicke,1.731714,70,2013,120,60,85,-5,8,84,264,0,4,76,1
Heart Attack,Demi Lovato,19.917327,87,2013,174,79,50,-5,24,50,211,7,10,76,1
We Are Never Ever Getting Back Together,Taylor Swift,40.244006,96,2013,86,68,63,-6,12,75,193,1,9,75,0
Die Young,Kesha,6.410236,81,2013,128,70,71,-5,22,80,212,0,5,75,1
Clarity,Zedd,5.470647,81,2013,128,78,51,-3,7,18,271,4,7,75,0
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,13.151672,87,2013,126,81,57,-6,13,11,215,2,6,74,0
Under Control,Calvin Harris,21.722981,88,2013,126,92,54,-3,12,51,184,13,8,74,1
Everybody Talks,Neon Trees,1.037009,73,2013,155,92,47,-4,31,73,177,0,6,74,0
"Hold On, We're Going Home",Drake,55.050203,98,2013,100,41,77,-7,7,29,228,0,10,73,0
Best Song Ever,One Direction,21.651775,90,2013,118,88,65,-3,8,49,200,2,5,73,0
Kiss You,One Direction,21.651775,90,2013,90,93,63,-3,32,91,183,2,6,73,0
Sweet Nothing (feat. Florence Welch),Calvin Harris,21.722981,88,2013,128,93,57,-4,6,58,213,20,11,72,1
Lose Yourself to Dance,Daft Punk,7.826076,84,2013,100,66,83,-8,8,67,354,8,6,72,0
Work Bitch,Britney Spears,9.141552,85,2013,128,82,63,-7,7,85,248,16,16,71,1
Brave,Sara Bareilles,1.648595,73,2013,185,84,55,-4,4,76,221,1,5,71,0
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2.562858,78,2013,146,93,63,-4,10,88,258,3,8,70,1
Feel This Moment (feat. Christina Aguilera),Pitbull,8.451805,87,2013,136,76,67,-4,34,54,230,4,16,70,1
Beneath Your Beautiful,Labrinth,1.626765,82,2013,84,52,56,-6,10,23,272,23,4,70,0
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,6.131858,82,2013,125,68,66,-7,37,25,252,25,4,70,1
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2.562858,78,2013,95,53,78,-7,5,66,236,6,29,69,1
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,11.875281,86,2013,126,75,52,-6,14,16,215,26,4,69,1
The Way,Ariana Grande,63.874004,96,2013,82,88,65,-3,8,86,227,29,11,68,1
Suit & Tie,Justin Timberlake,10.823572,84,2013,102,60,80,-4,16,36,326,10,22,68,1
#thatPOWER,will.i.am,3.424162,78,2013,128,61,80,-6,7,40,280,0,6,68,1
I Love It (feat. Charli XCX),Icona Pop,0.665107,71,2013,126,91,71,-3,15,82,157,1,3,67,0
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,22.646855,92,2013,130,87,72,-3,66,68,209,4,4,67,1
Daylight,Maroon 5,31.08034,91,2013,120,67,66,-5,26,37,225,0,3,66,0
Love Somebody,Maroon 5,31.08034,91,2013,120,78,68,-6,12,40,230,13,4,65,0
A Little Party Never Killed Nobody (All We Got),Fergie,4.469315,74,2013,130,62,76,-6,9,52,241,1,18,65,1
Move,Little Mix,9.168795,85,2013,121,74,85,-5,55,77,224,0,9,63,1
Walks Like Rihanna,The Wanted,2.258,69,2013,126,82,56,-3,10,43,202,1,6,62,0
Rock N Roll,Avril Lavigne,7.31976,80,2013,184,96,47,-3,34,67,207,1,13,61,0
Heartbreaker,Justin Bieber,46.280515,97,2013,105,52,56,-7,34,58,263,14,10,61,0
Mirrors - Radio Edit,Justin Timberlake,10.823572,84,2013,77,60,58,-6,43,65,277,14,5,60,1
Next To Me,Emeli Sandé,2.04696,69,2013,95,80,67,-5,11,35,197,9,4,60,1
Made In The USA,Demi Lovato,19.917327,87,2013,87,86,58,-4,32,59,196,0,4,60,1
Clown,Emeli Sandé,2.04696,69,2013,130,23,45,-8,11,23,221,92,4,60,1
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,8.702335,82,2013,93,81,55,-6,15,34,271,9,31,59,0
TKO,Justin Timberlake,10.823572,84,2013,138,68,61,-7,43,49,424,1,24,58,1
Come & Get It,Selena Gomez,27.688948,88,2013,80,79,55,-4,10,58,232,1,5,57,1
Live It Up,Jennifer Lopez,10.075421,80,2013,128,73,69,-5,33,65,244,1,17,57,1
We Own The Night,The Wanted,2.258,69,2013,104,94,55,-4,23,56,206,1,13,56,0
Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,30.35125,90,2013,136,45,28,-8,11,11,236,63,3,55,0
What About Love,Austin Mahone,1.864282,64,2013,100,78,63,-7,4,28,203,0,4,54,1
Take Back the Night,Justin Timberlake,10.823572,84,2013,107,66,59,-5,64,33,353,4,16,54,1
Applause,Lady Gaga,17.68018,89,2013,140,78,67,-4,11,73,212,3,5,52,1
Anything Could Happen,Ellie Goulding,9.519943,82,2013,103,78,70,-4,14,38,286,43,3,52,1
Finally Found You,Enrique Iglesias,10.143558,80,2013,128,88,62,-5,35,66,221,1,10,52,1
Pom Poms,Jonas Brothers,5.291239,81,2013,148,98,68,-2,28,90,198,7,9,52,0
#Beautiful,Mariah Carey,6.735039,80,2013,107,76,68,-5,31,45,200,29,4,51,1
How Ya Doin'? (feat. Missy Elliott),Little Mix,9.168795,85,2013,201,95,36,-3,37,51,211,9,48,50,1
Crazy Kids (feat. will.i.am),Kesha,6.410236,81,2013,128,75,72,-4,13,50,229,4,4,46,1
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,9.141552,85,2013,128,57,69,-5,11,73,257,2,5,45,1
People Like Us,Kelly Clarkson,7.700092,78,2013,128,79,60,-5,36,61,259,4,4,45,1
Overdose,Ciara,5.057199,75,2013,107,70,77,-6,6,79,227,1,3,43,1
Right Now - Dyro Radio Edit,Rihanna,43.069731,92,2013,130,74,53,-6,24,45,186,0,4,42,0
Give It 2 U,Robin Thicke,1.731714,70,2013,127,83,67,-4,16,58,230,10,7,41,1
Foolish Games,Jewel,0.531825,63,2013,132,34,51,-11,12,7,250,23,3,36,0
Outta Nowhere (feat. Danny Mercer),Pitbull,8.451805,87,2013,95,84,71,-4,21,66,207,16,3,35,1
Freak,Kelly Rowland,2.693098,71,2013,104,78,65,-5,12,45,274,13,6,28,0
All of Me,John Legend,5.685486,82,2014,120,26,42,-7,13,33,270,92,3,86,0
Stay With Me,Sam Smith,16.598527,87,2014,84,42,42,-6,11,18,173,59,4,85,0
Summer,Calvin Harris,21.722981,88,2014,128,86,60,-4,14,74,223,2,3,80,1
"Happy - From ""Despicable Me 2""",Pharrell Williams,3.561561,82,2014,160,82,65,-5,9,96,233,22,18,79,1
Rude,MAGIC!,1.216064,72,2014,144,76,77,-5,31,93,225,4,4,79,0
Shake It Off,Taylor Swift,40.244006,96,2014,160,80,65,-5,33,94,219,6,17,78,0
Dark Horse,Katy Perry,18.436129,87,2014,132,59,65,-6,17,35,216,0,5,78,1
Hey Brother,Avicii,19.871425,86,2014,125,78,55,-5,8,46,255,3,4,78,0
Maps,Maroon 5,31.08034,91,2014,120,71,74,-6,6,88,190,2,3,78,0
Treasure,Bruno Mars,31.020064,93,2014,116,69,87,-5,32,94,179,4,4,77,0
Let Her Go,Passenger,2.792085,76,2014,75,54,51,-7,10,24,253,39,6,77,0
